Odddzial,Gleba,STL,Data,Umiejscowienie_proby,Wskaznik_zawartosci_chlorofilu,Wilgotnosc_gleby,srednia_wilgotnosc_powietrza_dla_miesiaca,Ogolna_suma_opadow_dla_miesiaca,Naslonecznienie
709-h-02,RDb,LMsw,7/27/2023,1,"1,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"6,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"11,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"10,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,8",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"6,6",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"16,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"12,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"6,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"8,7",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,11,2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,5",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"11,3",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"6,2",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"18,4",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"10,6",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"17,6",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"8,5",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"6,7",2,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"4,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"8,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,8",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"15,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"26,6",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,7,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,5,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"10,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"11,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"15,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"20,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"20,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,2,"15,1",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"12,3",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,8",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"14,6",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"16,2",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,3",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"19,1",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"5,9",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"15,7",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"8,3",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,6",1,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,9",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"31,9",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"12,7",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"15,4",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,5",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,9",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,7,10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"16,9",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"19,5",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"17,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"17,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,2",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,9",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"6,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"9,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,9",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"9,5",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"3,6",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"15,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"16,2",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"8,7",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,7",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,7",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"9,5",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,6",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"9,3",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,5",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"6,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"14,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"14,1",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"6,8",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"5,9",10,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"9,2",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,7",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,5",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"14,4",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"17,8",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,8",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"13,2",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"5,9",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"16,8",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"4,6",2,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,20,5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"12,4",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,16,5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,1",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"15,6",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,9,5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"7,4",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"15,9",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,5",5,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"8,3",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"24,7",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,3",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,3",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"11,2",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,8",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"10,9",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,2,"8,3",4,"64,5","33,52",840
709-h-02,RDb,LMsw,7/27/2023,3,12,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"17,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,18,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,8",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"18,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"15,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,4,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,15,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"20,3",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,13,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"14,6",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,19,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,16,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"7,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"4,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,2",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,7,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,8",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"3,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,6",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"10,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,9",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"13,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,10,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"5,2",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"7,9",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,2,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"11,3",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"7,1",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,9",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,6",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"4,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,17,1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"11,3",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,8",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,7",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,3",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"8,1",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,3",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"5,6",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,19,2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,2",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"16,7",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,4",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"14,3",2,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"4,8",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,6",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"7,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"14,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"7,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"5,3",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"24,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,9",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"9,5",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"12,4",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"6,7",1,"64,5","33,52",798
709-h-02,RDb,LMsw,7/27/2023,3,"14,4",1,"64,5","33,52",798
709-d-02,RDb,LMsw,7/27/2023,4,19,1,"64,5","33,52",798
709-d-02,RDb,LMsw,7/27/2023,4,"4,9",1,"64,5","33,52",798
709-d-02,RDb,LMsw,7/27/2023,4,"21,8",1,"64,5","33,52",798
709-d-02,RDb,LMsw,7/27/2023,4,"4,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,14,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"14,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"9,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"18,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,16,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"12,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"13,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"16,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"10,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"5,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"14,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"19,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"14,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"15,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"16,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"3,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"10,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"9,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"11,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,14,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"12,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,10,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"11,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,3,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"12,6",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,16,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"9,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"5,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"6,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"4,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,15,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"11,6",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"10,6",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"11,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"17,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"4,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"4,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"16,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,7,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"10,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"9,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"14,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"5,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"13,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"6,4",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"8,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,5,1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"25,8",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"10,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"26,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"6,5",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"12,3",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"7,9",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"14,7",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"21,2",1,"64,5","33,52",970
709-d-02,RDb,LMsw,7/27/2023,4,"19,7",1,"64,5","33,52",970
